CapitalCity{name=Addis Abeba, country=Ethiopia, population=2495000}
CapitalCity{name=Nairobi, country=Kenya, population=2290000}
CapitalCity{name=Harare, country=Zimbabwe, population=1410000}
CapitalCity{name=Lusaka, country=Zambia, population=1317000}
CapitalCity{name=Maputo, country=Mozambique, population=1018938}
CapitalCity{name=Mogadishu, country=Somalia, population=997000}
CapitalCity{name=Kampala, country=Uganda, population=890800}
CapitalCity{name=Antananarivo, country=Madagascar, population=675669}
CapitalCity{name=Lilongwe, country=Malawi, population=435964}
CapitalCity{name=Asmara, country=Eritrea, population=431000}
CapitalCity{name=Djibouti, country=Djibouti, population=383000}
CapitalCity{name=Bujumbura, country=Burundi, population=300000}
CapitalCity{name=Kigali, country=Rwanda, population=286000}
CapitalCity{name=Dodoma, country=Tanzania, population=189000}
CapitalCity{name=Port-Louis, country=Mauritius, population=138200}
CapitalCity{name=Saint-Denis, country=Réunion, population=131480}
CapitalCity{name=Victoria, country=Seychelles, population=41000}
CapitalCity{name=Moroni, country=Comoros, population=36000}
CapitalCity{name=Mamoutzou, country=Mayotte, population=12000}
