CapitalCity{name=Seoul, country=South Korea, population=9981619}
CapitalCity{name=Jakarta, country=Indonesia, population=9604900}
CapitalCity{name=Tokyo, country=Japan, population=7980230}
CapitalCity{name=Peking, country=China, population=7472000}
CapitalCity{name=Teheran, country=Iran, population=6758845}
CapitalCity{name=Bangkok, country=Thailand, population=6320174}
CapitalCity{name=Baghdad, country=Iraq, population=4336000}
CapitalCity{name=Singapore, country=Singapore, population=4017733}
CapitalCity{name=Dhaka, country=Bangladesh, population=3612850}
CapitalCity{name=Rangoon (Yangon), country=Myanmar, population=3361700}
CapitalCity{name=Riyadh, country=Saudi Arabia, population=3324000}
CapitalCity{name=Ankara, country=Turkey, population=3038159}
CapitalCity{name=Taipei, country=Taiwan, population=2641312}
CapitalCity{name=Pyongyang, country=North Korea, population=2484000}
CapitalCity{name=Toskent, country=Uzbekistan, population=2117500}
CapitalCity{name=Baku, country=Azerbaijan, population=1787800}
CapitalCity{name=Kabul, country=Afghanistan, population=1780000}
CapitalCity{name=Manila, country=Philippines, population=1581082}
CapitalCity{name=Hanoi, country=Vietnam, population=1410000}
CapitalCity{name=Damascus, country=Syria, population=1347000}
CapitalCity{name=Victoria, country=Hong Kong, population=1312637}
CapitalCity{name=Kuala Lumpur, country=Malaysia, population=1297526}
CapitalCity{name=Yerevan, country=Armenia, population=1248700}
CapitalCity{name=Tbilisi, country=Georgia, population=1235200}
CapitalCity{name=Beirut, country=Lebanon, population=1100000}
CapitalCity{name=Amman, country=Jordan, population=1000000}
CapitalCity{name=Ulan Bator, country=Mongolia, population=773700}
CapitalCity{name=Colombo, country=Sri Lanka, population=645000}
CapitalCity{name=Jerusalem, country=Israel, population=633700}
CapitalCity{name=Kathmandu, country=Nepal, population=591835}
CapitalCity{name=Bishkek, country=Kyrgyzstan, population=589400}
CapitalCity{name=Phnom Penh, country=Cambodia, population=570155}
CapitalCity{name=Ashgabat, country=Turkmenistan, population=540600}
CapitalCity{name=Vientiane, country=Laos, population=531800}
CapitalCity{name=Islamabad, country=Pakistan, population=524500}
CapitalCity{name=Dushanbe, country=Tajikistan, population=524000}
CapitalCity{name=Sanaa, country=Yemen, population=503600}
CapitalCity{name=Macao, country=Macao, population=437500}
CapitalCity{name=Abu Dhabi, country=United Arab Emirates, population=398695}
CapitalCity{name=Doha, country=Qatar, population=355000}
CapitalCity{name=Gaza, country=Palestine, population=353632}
CapitalCity{name=Astana, country=Kazakstan, population=311200}
CapitalCity{name=New Delhi, country=India, population=301297}
CapitalCity{name=Nicosia, country=Cyprus, population=195000}
CapitalCity{name=al-Manama, country=Bahrain, population=148000}
CapitalCity{name=Male, country=Maldives, population=71000}
CapitalCity{name=Masqat, country=Oman, population=51969}
CapitalCity{name=Dili, country=East Timor, population=47900}
CapitalCity{name=Kuwait, country=Kuwait, population=28859}
CapitalCity{name=Thimphu, country=Bhutan, population=22000}
CapitalCity{name=Bandar Seri Begawan, country=Brunei, population=21484}
