CapitalCity{name=Teheran, country=Iran, population=6758845}
CapitalCity{name=Dhaka, country=Bangladesh, population=3612850}
CapitalCity{name=Toskent, country=Uzbekistan, population=2117500}
CapitalCity{name=Kabul, country=Afghanistan, population=1780000}
CapitalCity{name=Colombo, country=Sri Lanka, population=645000}
CapitalCity{name=Kathmandu, country=Nepal, population=591835}
CapitalCity{name=Bishkek, country=Kyrgyzstan, population=589400}
CapitalCity{name=Ashgabat, country=Turkmenistan, population=540600}
CapitalCity{name=Islamabad, country=Pakistan, population=524500}
CapitalCity{name=Dushanbe, country=Tajikistan, population=524000}
CapitalCity{name=Astana, country=Kazakstan, population=311200}
CapitalCity{name=New Delhi, country=India, population=301297}
CapitalCity{name=Male, country=Maldives, population=71000}
CapitalCity{name=Thimphu, country=Bhutan, population=22000}
