CapitalCity{name=Madrid, country=Spain, population=2879052}
CapitalCity{name=Roma, country=Italy, population=2643581}
CapitalCity{name=Beograd, country=Yugoslavia, population=1204000}
CapitalCity{name=Athenai, country=Greece, population=772072}
CapitalCity{name=Zagreb, country=Croatia, population=706770}
CapitalCity{name=Lisboa, country=Portugal, population=563210}
CapitalCity{name=Skopje, country=Macedonia, population=444299}
CapitalCity{name=Sarajevo, country=Bosnia and Herzegovina, population=360000}
CapitalCity{name=Ljubljana, country=Slovenia, population=270986}
CapitalCity{name=Tirana, country=Albania, population=270000}
CapitalCity{name=Gibraltar, country=Gibraltar, population=27025}
CapitalCity{name=Andorra la Vella, country=Andorra, population=21189}
CapitalCity{name=Valletta, country=Malta, population=7073}
CapitalCity{name=San Marino, country=San Marino, population=2294}
CapitalCity{name=Città del Vaticano, country=Holy See (Vatican City State), population=455}
