CapitalCity{name=Conakry, country=Guinea, population=1090610}
CapitalCity{name=Accra, country=Ghana, population=1070000}
CapitalCity{name=Freetown, country=Sierra Leone, population=850000}
CapitalCity{name=Monrovia, country=Liberia, population=850000}
CapitalCity{name=Ouagadougou, country=Burkina Faso, population=824000}
CapitalCity{name=Bamako, country=Mali, population=809552}
CapitalCity{name=Dakar, country=Senegal, population=785071}
CapitalCity{name=Nouakchott, country=Mauritania, population=667300}
CapitalCity{name=Niamey, country=Niger, population=420000}
CapitalCity{name=Lomé, country=Togo, population=375000}
CapitalCity{name=Abuja, country=Nigeria, population=350100}
CapitalCity{name=Bissau, country=Guinea-Bissau, population=241000}
CapitalCity{name=Porto-Novo, country=Benin, population=194000}
CapitalCity{name=Yamoussoukro, country=Côte d’Ivoire, population=130000}
CapitalCity{name=Praia, country=Cape Verde, population=94800}
CapitalCity{name=Banjul, country=Gambia, population=42326}
CapitalCity{name=Jamestown, country=Saint Helena, population=1500}
